friends_count,followers_count,cluster number
74,371,0
159,29,0
157,170,0
2058,2316,0
292,191,0
253,64,0
5532,9325,0
72,2607,0
636,698,0
413,275,0
361,390,0
409,308,0
100,383,0
22276,29841,0
482,918,0
138,185,0
485,613,0
656,1463,0
212,516,0
1671,1684,0
37,127,0
75,183,0
270,335,0
5896,167884,4
195,73,0
254,264,0
249,1541,0
882,23,0
268,205,0
1214,708,0
215,18,0
1571,22168,0
172,179,0
178,249,0
66141,203567,4
115,28,0
1906,281,0
1053,717,0
501,213,0
281048,692214,2
645,1161,0
724,779,0
636,562,0
19,81,0
1580,2560,0
156,331,0
2814,881,0
96,97,0
0,26,0
912,575,0
2183,2995,0
99,347,0
3764,3809,0
253,820,0
3981,30932,0
110,127,0
12,4,0
575,615,0
36275,44122,0
569,1019,0
352,813,0
1249,1106,0
406,625,0
720,2483,0
917,1126,0
7,5,0
119,55,0
1096,1409,0
229,36,0
492,199,0
364,207,0
329,375,0
309,143,0
310,155,0
473,370,0
76,66,0
7,7,0
630,755,0
233,113,0
556,2267,0
395,230,0
378,1395,0
325,173,0
433,659,0
1278,2791,0
923,18526,0
715,575,0
930,1077,0
1237,616,0
174,88,0
1923,1638,0
272,110,0
181,282,0
636,363,0
303,867,0
121,100,0
0,1148,0
383,373,0
73,14,0
720,191,0
23,28,0
914,428,0
111,205,0
256,404,0
2,4,0
376,80172,0
570,836,0
123,121,0
1060,570,0
888,750,0
64,1820,0
2039,1913,0
256,275,0
275,377,0
311,452,0
19588,22111,0
948,987,0
99,47,0
235,338,0
62,172,0
19,10,0
503,432,0
285,252,0
737,163,0
745,16684,0
40,39,0
1385,508,0
906,1144,0
148,58,0
174,80,0
913,769,0
1621,1478,0
462,130,0
437,3485,0
745,16684,0
71,114,0
234,299,0
186,3521,0
179,264,0
986,935,0
340,50,0
10,5,0
69,65,0
142,316,0
276,197,0
142,183,0
5,6,0
679,1036,0
394,432,0
0,1,0
238,245,0
533,460,0
117,17,0
13,3,0
56,28,0
836,949,0
337,640,0
445,682,0
36,11,0
46,8119,0
998,975,0
3299,6446,0
160,229,0
42,3,0
387,505,0
11,5,0
83,137,0
25,8,0
221,150,0
285,224,0
136,80,0
5091,28449,0
1485,2002,0
341,371,0
363,88,0
170,183,0
535,427,0
41,2,0
1045,1043,0
19,1836,0
530,139,0
78,37,0
490,349,0
35,145,0
332,468,0
196,154,0
1054,530,0
443,774,0
395,854,0
38,16,0
129,95,0
0,16,0
56,156,0
118,298,0
161,1929,0
55,47,0
234,250,0
297,1232,0
643,668,0
393,292,0
238,88,0
1364,63,0
116,10194,0
